id,nombre,educativa
1,IPN,1
2,UACM,1
3,UNAM,1
4,INBAL,1
5,Asamblea Legislativa del D.F  ,NULL
6,Asociación de Enlace Cultural de México ASOME A.C.       ,NULL
7,Cámara de Senadores         ,NULL
8,"Centro de Estudios Jurídicos y Ambientales, A.C.",NULL
9,Centro Interdisciplinario de Apoyo Terapéutico A.C,NULL
10,"Centro para el fomento de la educación y salud de operarios del transporte público de la Ciudad de México, A.C.",NULL
11,"Centros de Integración Juvenil, A. C.",NULL
12,"Ciudadanos en medios, democracia e información A.C.",NULL
13,Comisión de Derechos Humanos del Distrito Federal,NULL
14,Comisión Nacional del Agua      ,NULL
15,Comisión Nacional para el Desarrollo de los Pueblos indígenas.,NULL
16,Comunicación Comunitaria A.C,NULL
17,ConArte (Consorcio Internacional Arte y Escuela A.C),NULL
18,Consejo Nacional para la Cultura y las Artes (CONACULTA),NULL
19,Contraloria General del Distrito Federal     ,NULL
20,Delegación Álvaro Obregón,NULL
21,Delegación Iztapalapa ,NULL
22,Delegación Tlalpan        ,NULL
23,Delegacion Xochimilco,NULL
24,Dirección general de educación Tecnologica Industrial,NULL
25,EDNICA IAP (Educación con el Niño Callejero Institución de Asistencia Privada). ,NULL
26,El nido un parque de Vida Silvestre Jesús Estudillo López A.C,NULL
27,Fideicomiso Museo del Estanquillo.  ,NULL
28,Fundación Aztahuacan para el Desarrollo comunitario A.C.     ,NULL
29,Fundación Centro Histórico.  ,NULL
30,H. Cámara de Diputados,NULL
31,Instituto de Ciencia y Tecnología del Distrito Federal,NULL
32,Instituto de Geriatría,NULL
33,Instituto de las Mujeres del Distrito Federal,NULL
34,Instituto Electoral del Distrito Federal,NULL
35,Instituto Federal Electoral,NULL
36,Instituto Latinoamericano de Comunicación Educativa  ,NULL
37,Instituto Local de Infraestructura Física Educativa del Distrito ,NULL
38,Instituto Mexicano de la Radio,NULL
39,Instituto Mexicano del Seguro Social,NULL
40,Instituto Nacional de Antropología e Historia ,1
41,Instituto Nacional en Enfermedades Respiratorias,NULL
42,Instituto Nacional para la Educación de Adultos D.F.  ,NULL
43,ITDP MÉXICO A.C.,NULL
44,Museo Tamayo Arte Contemporáneo      ,NULL
45,Notaria 96 del Estado de México      ,NULL
46,"ÑEPI BEHÑA, AC",NULL
47,Presidencia de la República,NULL
48,Procuraduría Agraria,NULL
49,Procuraduría General de Justicia del Distrito Federal,NULL
50,"Proyecto Andares, A.C.",NULL
51,Secretaría de Cultura del Distrito Federal ,NULL
52,Secretaria de Marina Armada de México     ,NULL
53,Secretaría de Salud,NULL
54,Secretaría de Seguridad Pública,NULL
55,Secretaria de Transporte y Vialidad,NULL
56,Servicio de Transportes Eléctricos del Distrito Federal                ,NULL
57,Servicios de Salud Pública del Distrito Federal,NULL
58,Sistema Nacional para el Desarrollo Integral de la Familia ,NULL
59,Suprema Corte de Justicia de la Nación    ,NULL
60,Universidad Pedagógica Nacional      ,1
61,CBtis,1
62,UVM,1
63,CONALEP,1